                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3696,                 4.0391,                 4.2491,                0.00105,                0.06984,                0.00076,                0.00028,                 4.7941,                 3.9589,                 4.1617,             0.00021671,             0.00021671,             0.00021671
                      2,                 4.1307,                 3.8018,                 4.1267,                0.00117,                0.07894,                0.00096,                0.00036,                 4.7954,                  3.968,                 4.1655,             0.00044831,             0.00044831,             0.00044831
                      3,                 3.7546,                 3.5423,                 3.9748,                0.00127,                0.08803,                0.00154,                0.00048,                 4.8238,                 3.9446,                  4.187,             0.00067806,             0.00067806,             0.00067806
                      4,                 3.5725,                 3.3356,                 3.7952,                0.00169,                0.11242,                0.00251,                0.00062,                 4.9192,                 4.0521,                 4.2384,             0.00090596,             0.00090596,             0.00090596
                      5,                 3.3635,                  3.305,                 3.6383,                0.00189,                0.11552,                0.00158,                0.00032,                 5.2595,                 4.3699,                 4.5815,               0.001132,               0.001132,               0.001132
                      6,                 3.2313,                 3.2389,                 3.4109,                0.00137,                0.06386,                0.00092,                 0.0003,                 5.4014,                 4.6459,                 4.7935,              0.0013562,              0.0013562,              0.0013562
                      7,                 3.0367,                 3.2111,                 3.2686,                0.00266,                0.06075,                0.00712,                0.00215,                 5.3589,                 4.4278,                 4.7745,              0.0015786,              0.0015786,              0.0015786
                      8,                 2.9069,                 3.1413,                 3.1604,                0.05273,                0.06696,                0.01022,                0.00287,                 4.7524,                 4.4498,                 4.1298,              0.0016208,              0.0016208,              0.0016208
                      9,                 2.9037,                 3.0928,                 3.0208,                0.18541,                0.04568,                0.02434,                0.00607,                  4.164,                 5.7785,                 3.9295,              0.0016142,              0.0016142,              0.0016142
                     10,                  2.854,                 3.0265,                 2.9917,                0.06535,                0.06386,                0.02352,                0.00645,                 3.4373,                 4.9748,                 3.4389,              0.0016076,              0.0016076,              0.0016076
                     11,                 2.8016,                 2.9299,                 2.9345,                0.02862,                0.25543,                 0.0165,                0.00459,                 3.4508,                 16.371,                 3.7957,               0.001601,               0.001601,               0.001601
                     12,                 2.7058,                 2.9564,                 2.8958,                0.15512,                0.13497,                0.08243,                0.03302,                 2.7444,                 5.7413,                 2.9645,              0.0015944,              0.0015944,              0.0015944
