                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7267,                0.91991,                      1,                0.66473,             0.00023765,             0.00023765,             0.00023765
                      2,                 0.3462,                0.94644,                      1,                0.62871,             0.00046623,             0.00046623,             0.00046623
                      3,                0.28436,                 0.9621,                      1,                0.60163,             0.00068539,             0.00068539,             0.00068539
                      4,                0.23549,                 0.9664,                      1,                0.59829,             0.00067159,             0.00067159,             0.00067159
                      5,                   0.22,                0.96488,                      1,                0.59587,             0.00065745,             0.00065745,             0.00065745
                      6,                0.17664,                0.97196,                      1,                0.58722,             0.00064331,             0.00064331,             0.00064331
                      7,                0.16592,                0.97196,                      1,                0.58574,             0.00062918,             0.00062918,             0.00062918
                      8,                0.15635,                 0.9717,                      1,                0.58675,             0.00061504,             0.00061504,             0.00061504
                      9,                  0.143,                0.97246,                      1,                0.58206,              0.0006009,              0.0006009,              0.0006009
                     10,                0.14503,                0.97145,                      1,                0.58627,             0.00058677,             0.00058677,             0.00058677
                     11,                0.14126,                0.97221,                      1,                0.58707,             0.00057263,             0.00057263,             0.00057263
                     12,                0.14475,                0.97094,                      1,                0.58521,             0.00055849,             0.00055849,             0.00055849
                     13,                0.13367,                0.97044,                      1,                0.58889,             0.00054435,             0.00054435,             0.00054435
                     14,                0.12613,                0.97448,                      1,                0.58068,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.1288,                0.97524,                      1,                0.58289,             0.00051608,             0.00051608,             0.00051608
                     16,                0.11825,                0.97549,                      1,                0.58526,             0.00050194,             0.00050194,             0.00050194
                     17,                0.12416,                 0.9717,                      1,                0.58457,              0.0004878,              0.0004878,              0.0004878
                     18,                0.11418,                 0.9717,                      1,                0.58246,             0.00047367,             0.00047367,             0.00047367
                     19,                0.10921,                 0.9765,                      1,                0.58138,             0.00045953,             0.00045953,             0.00045953
                     20,                0.10744,                0.97575,                      1,                0.57831,             0.00044539,             0.00044539,             0.00044539
                     21,                0.10553,                0.97448,                      1,                0.58164,             0.00043126,             0.00043126,             0.00043126
                     22,                0.10083,                0.97423,                      1,                0.58095,             0.00041712,             0.00041712,             0.00041712
                     23,                0.10142,                0.97448,                      1,                0.58109,             0.00040298,             0.00040298,             0.00040298
                     24,                 0.1016,                  0.976,                      1,                0.57851,             0.00038884,             0.00038884,             0.00038884
                     25,                0.09671,                0.97524,                      1,                0.58063,             0.00037471,             0.00037471,             0.00037471
                     26,                0.09272,                0.97726,                      1,                0.57873,             0.00036057,             0.00036057,             0.00036057
                     27,                0.09346,                0.97524,                      1,                0.58109,             0.00034643,             0.00034643,             0.00034643
                     28,                0.09112,                0.97524,                      1,                0.57799,              0.0003323,              0.0003323,              0.0003323
                     29,                0.10088,                0.97676,                      1,                0.58043,             0.00031816,             0.00031816,             0.00031816
                     30,                0.09478,                0.97448,                      1,                0.58277,             0.00030402,             0.00030402,             0.00030402
                     31,                0.09298,                0.97524,                      1,                0.57884,             0.00028988,             0.00028988,             0.00028988
                     32,                0.08765,                  0.976,                      1,                0.57955,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.0831,                0.97499,                      1,                0.58012,             0.00026161,             0.00026161,             0.00026161
                     34,                0.08513,                0.97448,                      1,                0.57907,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.0833,                0.97524,                      1,                 0.5796,             0.00023334,             0.00023334,             0.00023334
                     36,                 0.0767,                0.97448,                      1,                0.57896,              0.0002192,              0.0002192,              0.0002192
                     37,                0.08013,                0.97398,                      1,                0.57884,             0.00020506,             0.00020506,             0.00020506
                     38,                0.07834,                0.97473,                      1,                0.57975,             0.00019092,             0.00019092,             0.00019092
                     39,                0.08268,                0.97575,                      1,                0.58015,             0.00017679,             0.00017679,             0.00017679
                     40,                0.07081,                 0.9765,                      1,                0.57869,             0.00016265,             0.00016265,             0.00016265
                     41,                0.07228,                0.97448,                      1,                0.57965,             0.00014851,             0.00014851,             0.00014851
                     42,                0.07464,                0.97575,                      1,                0.57937,             0.00013437,             0.00013437,             0.00013437
                     43,                0.07278,                0.97448,                      1,                0.57849,             0.00012024,             0.00012024,             0.00012024
                     44,                0.06852,                0.97473,                      1,                0.57918,              0.0001061,              0.0001061,              0.0001061
                     45,                0.07742,                0.97575,                      1,                0.57844,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.06844,                0.97549,                      1,                0.57862,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.06477,                0.97524,                      1,                0.57839,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.06032,                0.97524,                      1,                0.57786,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.06195,                0.97549,                      1,                0.57791,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.06207,                0.97499,                      1,                0.57828,             2.1277e-05,             2.1277e-05,             2.1277e-05
